ลำดับ,เพศ,จังหวัดที่อาศัย,โรงเรียน,สำเร็จการศึกษาจาก,จังหวัด,เกรดเฉลี่ยสะสม,รายได้ครอบครัว,หลักสูตรที่เข้าศึกษา,ปัจจัยสถาบันการศึกษา1,ปัจจัยสถาบันการศึกษา2,ปัจจัยสถาบันการศึกษา3,ปัจจัยสถาบันการศึกษา4,ปัจจัยสถาบันการศึกษา5,ปัจจัยสถาบันการศึกษา6,ปัจจัยด้านโปรแกรมการศึกษา/หลักสูตร1,ปัจจัยด้านโปรแกรมการศึกษา/หลักสูตร2,ปัจจัยด้านโปรแกรมการศึกษา/หลักสูตร3,ปัจจัยด้านโปรแกรมการศึกษา/หลักสูตร4,ปัจจัยด้านโปรแกรมการศึกษา/หลักสูตร5,ปัจจัยด้านโปรแกรมการศึกษา/หลักสูตร6,ปัจจัยในการตัดสินใจ1,ปัจจัยในการตัดสินใจ2,ปัจจัยในการตัดสินใจ3,ปัจจัยในการตัดสินใจ4,ปัจจัยด้านเหตุผลส่วนตัว1,ปัจจัยด้านเหตุผลส่วนตัว2,ปัจจัยด้านเหตุผลส่วนตัว3,ปัจจัยด้านเหตุผลส่วนตัว4,ปัจจัยด้านเหตุผลส่วนตัว5,ปัจจัยด้านสื่อและการประชาสัมพันธ์1,ปัจจัยด้านสื่อและการประชาสัมพันธ์2,ปัจจัยด้านสื่อและการประชาสัมพันธ์3,ปัจจัยด้านสื่อและการประชาสัมพันธ์4,ปัจจัยด้านสื่อและการประชาสัมพันธ์5,จัดการเรียนการสอนที่ศูนย์แม่ริม,ความคาดหวังที่นักศึกษาคิดว่าจะได้รับ,ข้อเสนอแนะ
100,ช,เชียงใหม่,สถาบันอาชีวศึกษา,วิทยาลัยเทคโนโลยีพายัพและบริหารธุรกิจ,เชียงใหม่,2.56,"ไม่เกิน 10,000",เทคโนโลยีเว็บ,4,4,4,4,3,4,5,4,5,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,4,4,ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก อยู่ไกลบ้าน,,
101,ช,เชียงใหม่,สถาบันอาชีวศึกษา,วิทยาลัยอาชีวศึกษาเชียงใหม่,เชียงใหม่,2.86,"ไม่เกิน 10,000",เทคโนโลยีเว็บ,5,5,5,5,5,5,5,5,5,5,5,5,4,4,3,4,5,4,4,4,5,5,4,4,5,4,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริมข้อเสนอแนะ หาหอพักให้นักศึกษาด้วย,,
102,ช,เชียงใหม่,สถาบันอาชีวศึกษา,วิทยาลัยอาชีวศึกษาเชียงใหม่,เชียงใหม่,3.71,"ไม่เกิน 10,000",เทคโนโลยีเว็บ,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,1. มีงานทำที่ดี,
103,ญ,แพร่,มัธยมศึกษาของเอกชน,เทพนารี,แพร่,2.16,"10,001-20,000",เทคโนโลยีเว็บ,3,3,4,4,3,1,3,3,3,3,3,3,3,1,1,2,4,1,1,1,1,2,3,3,2,4,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,"1. การเรียนดี
2. พาไปสู่อนาคต",
104,ญ,เชียงใหม่,มัธยมศึกษาของรัฐ,หางดงรัฐราษฎร์อุปถัมภ์,เชียงใหม่,3.75,"10,001-20,000",เทคโนโลยีเว็บ,3,3,4,4,4,5,5,4,3,3,4,5,3,4,5,5,4,5,1,1,4,1,1,1,1,5,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริมข้อเสนอแนะ  หอนอกราคาแพงและอยู่ไกลจากที่เรียน สำหรับนักศึกษาที่ไม่มีรถส่วนตัวเดินทางค่อนข้างลำบาก,"1. ได้รับความรู้ที่ทันสมัยและนำสมัย
2. รองรับในตลาดแรงงาน
3. ได้ทักษะชีวิตและแนวทางการทำงาน
4. ได้ฝึกงานองค์กรที่น่าเชื่อถือและพัฒนาความสามารถของเรา",ควรมีการอัพเดทหลักสูตรให้ทันสมัยอยู่เสมอและมีความรู้ในส่วนที่น่าสนใจและนำไปปรับใช้ได้อย่างหลากหลาย
105,ช,ตาก,มัธยมศึกษาของรัฐ,บ้านประชาวิทยาคาร,ตาก,1.68,"20,001-30,000 ",เทคโนโลยีเว็บ,5,5,5,2,3,4,5,4,5,4,3,4,2,1,2,1,4,1,5,5,5,3,3,5,5,5,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,,
106,ช,ลำพูน,มัธยมศึกษาของรัฐ,จักรคำคณาทร,ลำพูน,2.50,"10,001-20,000",เทคโนโลยีเว็บ,4,3,3,2,3,2,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,3,2,3,ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก ไกลที่ปัจจุบัน ได้เสียค่าที่อยู่ใหม่ ไกลเมือง,"1. เขียนโปรแกรมได้
2. มีเพื่อน                                                 3. ได้งาน",
107,ช,เชียงใหม่,มัธยมศึกษาของเอกชน,รังษีวิทยา,เชียงใหม่,2.55,"ไม่เกิน 10,000",วิทยาการคอมพิวเตอร์,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก ไกล,"1. ประสบการณ์ฝึกด้านวิชาชีพ
2. ทดลองทำงานจริง",
108,ญ,น่าน,มัธยมศึกษาของรัฐ,มัธยมป่าลาว,น่าน,2.80,"ไม่เกิน 10,000",วิทยาการคอมพิวเตอร์,3,2,4,4,3,3,3,4,4,3,5,3,3,2,3,4,4,3,4,3,2,3,2,3,3,4,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,,
109,ช,เชียงใหม่,มัธยมศึกษาของรัฐ,สันทรายวิทยาคม,เชียงใหม่,2.61,"10,001-20,000",วิทยาการคอมพิวเตอร์,4,4,5,3,5,4,5,5,4,5,5,5,4,1,4,3,5,1,3,1,5,5,5,5,5,5,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,"1. ความรู้
2. ประสบการณ์
3. การพัฒนาตัวเอง
4. การหางานทำความสามารถของเรา                 5. การสะสมผลงาน",
110,ช,เชียงราย,มัธยมศึกษาของรัฐ,เวียงป่าเป้าวิทยาคม,เชียงราย,2.30,"10,001-20,000",วิทยาการคอมพิวเตอร์,4,4,2,2,3,4,3,3,3,3,3,3,3,2,2,2,4,3,2,2,4,3,3,3,3,3,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,1. หวังว่าจะให้ความรู้ด้านคอมพิวเตอร์,
111,ช,ชุมพร,มัธยมศึกษาของรัฐ,สอาดเผดิมวิทยา,ชุมพร,3.16,"20,001-30,000 ",วิทยาการคอมพิวเตอร์,3,3,4,2,3,4,4,4,4,3,4,4,4,3,3,3,2,1,2,2,4,3,3,3,3,3,ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก อยู่ไกลจากที่พัก,1. ได้ความรู้,
112,ช,เชียงใหม่,มัธยมศึกษาของรัฐ,ฝางชนูปถัมภ์,เชียงใหม่,2.50,"30,001 ขึ้นไป",วิทยาการคอมพิวเตอร์,4,4,4,2,3,3,3,5,4,5,4,4,4,3,5,3,2,3,2,2,4,4,3,4,3,3,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,"1. ได้รับความรู้ใหม่ๆ
2. ได้รับทักษะการใช้ชีวิต                               3. เพื่อนใหม่",
113,ญ,เชียงใหม่,มัธยมศึกษาของเอกชน,ดาราวิทยาลัย,เชียงใหม่,2.46,"20,001-30,000 ",วิทยาการคอมพิวเตอร์,4,4,4,2,4,5,4,4,4,4,4,4,3,4,3,5,2,5,2,2,4,4,4,4,4,4,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,"1. ให้ความรู้จากหลักสูตรของทางมหาวิทยาลัยเป็นจำนวนมากและตรงตามความต้องการ
2. ได้จบมาแล้วมีงานทำที่ดีและตรงตามสาขาที่เรียน",
114,ช,เชียงใหม่,มัธยมศึกษาของรัฐ,กาวิละวิทยาลัย,เชียงใหม่,3.37,"10,001-20,000",วิทยาการคอมพิวเตอร์,4,4,3,2,3,4,4,4,4,3,4,4,4,3,3,4,4,1,3,4,4,4,4,3,2,1,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,"1. ได้รับความรู้หลากหลาย
2. ได้เรียนร่วมกับเพื่อนๆ
3. ได้ฝึกงานกับคนที่มีความสามารถ
4. ได้งานทำที่ดี",
115,ช,เชียงใหม่,มัธยมศึกษาของรัฐ,นวมินทราชูทิศพายัพ,เชียงใหม่,2.64,"10,001-20,000",วิทยาการคอมพิวเตอร์,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,3,5,3,3,4,4,4,4,4,4,ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก ไกลจากที่พักอาศัย,1. ได้ความรู้ที่มากพอ,
116,ช,ลำพูน,มัธยมศึกษาของรัฐ,ส่วนบุญโญปถัมภ์,ลำพูน,3.30,"ไม่เกิน 10,000",วิทยาการคอมพิวเตอร์,4,3,3,4,3,4,4,4,4,3,4,4,4,3,4,4,4,4,3,3,3,3,3,3,4,4,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริมข้อเสนอแนะ  คิดว่าเมื่อต้อง้ายหลักสูตรไปมหาวิทยาลัยควรเตรียมความพร้อมให้พร้อมในการใช้งานจริงให้ได้,"1. หวังว่าจะเรียนจนจบหลักสูตร
2. อยากใช้ชีวิตมหาวิทยาลัยให้คุ้ม
3. คาดว่าชีวิตในรั้วมหาวิทยาลัยคงไม่ง่าย
4. จบการศึกษา",
117,ช,เชียงใหม่,          อื่นๆ          (พส.ปริยัต),พระปริยัติธรรม วัดท่าตอน,เชียงใหม่,3.53,"10,001-20,000",เทคโนโลยีสารสนเทศ,4,3,3,4,4,3,4,4,3,4,3,3,3,4,3,4,2,3,4,4,3,3,3,4,3,4,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,"1. จะได้รับความรู้ใหม่ๆ
2. ได้ชีวิตในมหาวิทยาลัย",
118,ช,เชียงใหม่,มัธยมศึกษาของรัฐ,พร้าววิทยาคม,เชียงใหม่,3.48,"30,001 ขึ้นไป",เทคโนโลยีสารสนเทศ,3,4,5,2,3,3,3,4,3,3,4,4,2,2,5,2,4,4,5,3,4,3,3,5,3,5,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,"1. ความรู้
2. การใช้ชีวิต
3. ความสุข
4. ทำตามความฝัน",
119,ช,ภูเก็ต,มัธยมศึกษาของเอกชน,ดาวรุ่งวิทยา,ภูเก็ต,1.74,"20,001-30,000 ",         คหกรรมศาสตร์                 (อาหารและโภชนาการ),4,4,3,2,3,3,3,3,3,3,3,3,3,1,3,3,5,1,2,2,5,3,3,3,3,3,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,,
120,ช,เชียงใหม่,มัธยมศึกษาของรัฐ,,,1.73,"ไม่เกิน 10,000",วิทยาการคอมพิวเตอร์,5,4,5,5,5,5,4,5,4,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก ,,
121,ช,เชียงใหม่,มัธยมศึกษาของรัฐ,,,2.02,"ไม่เกิน 10,000",วิทยาการคอมพิวเตอร์,5,4,5,3,3,4,5,4,3,4,4,5,4,5,3,5,5,3,4,5,5,4,5,3,4,5,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,,
122,ญ,เชียงใหม่,มัธยมศึกษาของเอกชน,เทพบดิทร์วิทยา,เชียงใหม่,3.16,"20,001-30,000 ",วิทยาการคอมพิวเตอร์,4,4,5,4,4,5,4,4,4,5,4,4,3,3,3,3,3,3,4,3,4,3,4,3,3,4,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,"1. ทำงานที่มีรายได้มั่นคง
2. ใช้ชีวิตในรั้วมหาวิทยาลัยอย่างสนุก
3. รู้จัดเพื่อนๆเพิ่มใหม่มากขึ้น
4. ได้รับความรู้ใหม่ๆที่นำไปใช้ประโยชน์ได้",
123,ญ,เชียงใหม่,มัธยมศึกษาของรัฐ,ไชยปราการ,เชียงใหม่,2.92,"30,001 ขึ้นไป",         คหกรรมศาสตร์                 (อาหารและโภชนาการ),5,4,5,4,4,5,4,4,4,4,5,5,4,4,4,3,3,2,4,4,4,4,4,3,3,4,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,1. ได้ความรู้และนำไปใช้ในชีวิตจริงได้,
124,ญ,ลำพูน,มัธยมศึกษาของรัฐ,ส่วนบุญโญปถัมภ์,ลำพูน,2.52,"10,001-20,000",วิทยาการคอมพิวเตอร์,3,3,3,5,4,5,4,4,4,4,4,5,4,4,3,3,4,1,4,4,4,4,4,4,4,5,ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก  ระยะทางไกล,"1. อาจารย์ที่ปรึกษาใจดี  แนะแนวความรู้ให้ตลอด
2. พี่ๆแนะนำกิจกรรมหรือความรู้ต่างๆ ให้ทุกครั้งที่มีกิจกรรม",
125,ญ,ชัยภูมิ,มัธยมศึกษาของรัฐ,เจียงทองพิทยาคม,ชัยภูมิ,2.94,"10,001-20,000",วิทยาการคอมพิวเตอร์,5,3,4,1,3,3,4,3,4,4,5,4,3,3,5,4,1,1,3,2,1,4,3,3,3,4,ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก  ระยะทางไกล,"1. คาดหวังจะได้รับความรู้และประสบการณ์อีกมากมายในสถาบันนี้
2. คาดหวังว่าจะได้เจอสังคมที่ดีและเพื่อนที่ดี",
126,ช,เชียงใหม่,มัธยมศึกษาของรัฐ,ฮอดพิทยาคม,เชียงใหม่,2.88,"10,001-20,000",วิทยาการคอมพิวเตอร์,3,5,5,5,5,3,5,3,3,5,4,5,5,5,5,5,2,2,3,3,3,3,3,3,2,4,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,"1. มีความรู้
2. มีงานทำ",
127,ญ,เชียงใหม่,มัธยมศึกษาของรัฐ,หอพระ,เชียงใหม่,2.65,"30,001 ขึ้นไป",ชีววิทยา,5,4,3,4,4,2,4,4,4,5,5,3,5,4,5,5,5,4,5,5,4,5,5,4,3,5,ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก  คิดว่ายากต่อการใช้ชีวิต   ด้วยความที่อยู่นอกเมือง คิดว่าอาจะลำบาก,,
128,ญ,แม่ฮ่องสอน,มัธยมศึกษาของรัฐ,แม่ลาน้อยดรุณสิกข์,แม่ฮ่องสอน,3.08,"10,001-20,000",ชีววิทยา,3,2,4,5,5,2,4,3,3,2,4,3,5,5,1,4,3,1,2,1,3,5,4,3,1,5,"ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก อยู่ไกลจากตัวเมืองและต้องย้ายหอพัก เพิ่มภาระผู้ปกครอง
ข้อเสนอแนะ แม่ริมอยู่นอกตัวเมือง มีความสะดวกสบายเรื่องการขนส่งสาธารณะน้อย  แถมยังมีระยะทางที่ไกล ภายในมหาวิทยาลัยไม่ค่อยมีความพร้อม ( ไปดูมาแล้ว ) มีร้านค้า  หอักต่าง ๆ น้อย  รวมถึงตลาดน้อยมากไม่เพียงพอจะรองรับนักศึกษาทั้งมหาวิทยาลัยขนาดนั้น  ขอให้คิดอีทีให้ถี่ถ้วน  อาจจะมีผลดีแต่ผลเสียมากกว่า",,
129,ญ,ร้อยเอ็ด,มัธยมศึกษาของรัฐ,เสลภูมิ,ร้อยเอ็ด,3.53,"10,001-20,000",ชีววิทยา,5,5,5,3,4,4,4,4,4,5,5,5,3,3,4,4,3,1,3,1,5,5,4,5,5,5,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,,
130,ญ,กรุงเทพฯ,มัธยมศึกษาของรัฐ,บดินทรเดชา (สิงห์ สิงหเสนี) 2,กรุงเทพฯ,3.76,"10,001-20,000",ชีววิทยา,3,3,3,3,4,3,5,5,5,4,5,5,5,5,5,5,1,1,1,1,5,1,1,1,4,5,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,,
131,ญ,แพร่,มัธยมศึกษาของรัฐ,พิริยาลัย,แพร่,2.86,"10,001-20,000",ชีววิทยา,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,,
132,ช,น่าน,มัธยมศึกษาของรัฐ,มัธยมป่ากลาง,น่าน,3.36,"ไม่เกิน 10,000",วิทยาการคอมพิวเตอร์,4,4,4,1,4,3,4,4,4,4,4,4,3,3,4,2,2,2,2,2,5,3,2,2,2,5,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,"1. ความรู้
2. ความสามารถ
3. การงานอาชีพ",
133,ช,เชียงใหม่,สถาบันอาชีวศึกษา,วิทยาลัยเทคนิคเชียงใหม่,เชียงใหม่,3.49,"30,001 ขึ้นไป",เทคโนโลยีวิศวกรรมก่อสร้าง,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,3,4,4,4,4,4,"ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก  ไกลจากตัวเมือง  เดินทางไม่สะดวก  ที่พักอาศัย
ข้อเสนอแนะ ย้ายไปเมื่อพร้อม         ( บางตึกยังสร้างไม่เสร็จ )",,
134,ช,เชียงใหม่,สถาบันอาชีวศึกษา,วิทยาลัยเทคนิคเชียงใหม่,เชียงใหม่,3.19,"10,001-20,000",เทคโนโลยีวิศวกรรมก่อสร้าง,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,3,4,4,4,4,4,"ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก  ไกลจากตัวเมือง ที่พักหายาก การเดินทางค่อนข้างไกลจากตัวเมือง
ข้อเสนอแนะ ย้ายไปเมื่อพร้อม          บางตึกยังสร้างไม่เสร็จ ",,
135,ช,เชียงใหม่,มัธยมศึกษาของรัฐ,,,2.99,"10,001-20,000",เทคโนโลยีวิศวกรรมก่อสร้าง,4,4,3,2,3,3,3,3,3,3,4,4,3,2,4,2,2,4,3,2,3,3,3,3,2,3,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,,
136,ช,ตาก,มัธยมศึกษาของรัฐ,ท่าสองยางวิทยาคม,ตาก,2.89,"10,001-20,000",วิทยาการคอมพิวเตอร์,3,3,5,2,3,5,5,4,3,4,3,4,3,3,3,3,3,3,3,3,3,4,3,4,3,4,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,,
137,ช,เชียงใหม่,กศน,,,2.53,"ไม่เกิน 10,000",วิทยาการคอมพิวเตอร์,4,5,5,4,4,5,4,5,4,5,4,4,1,1,3,3,3,3,3,3,3,3,3,3,3,3,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,"1. ความรู้ ความสามารถ
2. วุฒิการศึกษา",
138,ช,เชียงใหม่,มัธยมศึกษาของรัฐ,นวมินทราชูทิศพายัพ,เชียงใหม่,2.00,"20,001-30,000 ",วิทยาการคอมพิวเตอร์,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,1. เรียนจบ,
139,ญ,เชียงราย,มัธยมศึกษาของรัฐ,ห้วยซ้อวิทยาคม รัชมังคลาภิเษก,เชียงราย,3.70,"ไม่เกิน 10,000",วิทยาการคอมพิวเตอร์,4,4,3,5,5,4,4,5,5,4,5,4,4,4,3,5,5,4,4,3,4,5,4,5,4,5,ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก  เพราะไม่อยากย้ายหอ,,
140,ญ,เชียงใหม่,มัธยมศึกษาของรัฐ,ฮอดพิทยาคม,เชียงใหม่,3.15,"10,001-20,000",วิทยาการคอมพิวเตอร์,4,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,4,5,5,4,5,5,4,4,4,4,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,,
141,ญ,น่าน,มัธยมศึกษาของรัฐ,ทุ่งช้าง,น่าน,3.18,"10,001-20,000",วิทยาการคอมพิวเตอร์,4,3,4,1,4,4,4,4,4,4,4,4,3,,4,4,4,2,4,4,4,4,4,4,4,4,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,"1. หวังจะได้รับความรู้อย่างเต็มที่
2. หวังว่าจะมีงานรองรับ",
142,ช,น่าน,มัธยมศึกษาของเอกชน,สตรีศรีน่าน,น่าน,2.36,"20,001-30,000",วิทยาการคอมพิวเตอร์,3,4,3,3,4,4,5,4,5,4,4,4,3,3,3,3,2,1,3,2,3,3,3,2,3,3,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,"1. ความรู้
2. วินัย
3. งานที่มั่นคง
4. รุ่นพี่ที่ดี
5. การใช้ชีวิต
6. งาน",
143,ช,เชียงใหม่,มัธยมศึกษาของเอกชน,กาวิละวิทยาลัย,เชียงใหม่,2.4,"10,001-20,000",วิทยาการคอมพิวเตอร์,3,3,3,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,1,3,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,,
144,ช,เชียงใหม่,สถาบันอาชีวศึกษา,วิทยาลัยเทคนิคเชียงใหม่,เชียงใหม่,3.78,"10,001-20,000",วิทยาการคอมพิวเตอร์,4,5,3,3,4,5,4,3,3,3,3,4,4,4,3,2,2,2,2,2,3,3,3,3,3,3,"ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม
ข้อเสนอแนะ อยากให้เปิดศูนย์แม่ริมเร็วๆ เนื่องจากบ้านผมอยู่ใกล้ จะได้ช้วยลดค่าใช้จ่าย",1.จะได้รับความรู้ ตรงตามหลักสูตรที่เลือกไว้,
145,ช,น่าน,สถาบันอาชีวศึกษา,วิทยาลัยลัยเทคนิคน่าน,น่าน,3.79,"ไม่เกิน 10,000",วิทยาการคอมพิวเตอร์,3,3,4,2,3,4,3,4,3,3,5,4,3,3,3,3,1,1,2,2,4,3,1,2,3,5,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,,
146,ช,น่าน,มัธยมศึกษาของรัฐ,น่านประชาอุทิศ,น่าน,3.54,"10,001-20,000",วิทยาการคอมพิวเตอร์,4,5,4,3,4,3,4,3,3,3,4,4,4,4,3,4,5,5,3,1,4,4,4,4,4,4,ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก  ไกล เดินทางไม่สะดวก,"1. ประสบการณ์การทำงาน
2. การพบปะสื่อสาร
3. ความรู้ที่จะนำไปพัฒนา",
147,ญ,น่าน,สถาบันอาชีวศึกษา,วิทยาลัยลัยเทคนิคน่าน,น่าน,,"ไม่เกิน 10,000",เทคโนโลยีสถาปัตยกรรม,4,3,4,3,5,5,5,5,5,5,4,5,5,3,3,5,5,1,5,4,4,4,3,4,4,5,ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก  ในเมืองมีความสะดวกสบายมากกว่า,1.เรียนสนุก,
148,ช,ลำพูน,มัธยมศึกษาของรัฐ,ส่วนบุญโญปถัมภ์,ลำพูน,2.82,"10,001-20,000",เทคโนโลยีสถาปัตยกรรม,5,5,3,2,4,4,5,4,4,5,5,5,5,4,4,1,1,3,1,2,2,5,5,5,3,5,ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก  ห่างไกล ยากต่อการใช้ชีวิต,"1.ได้รับความรู้มากพอ ที่จะนำไปใช้ในชีวิตหลังจบมหาวิทยาลัย
2. สังคมที่ดี
3. เพื่อนทีดี
4. การศึกษาที่ดีและพร้อม
5. อาจารย์ที่ปรึกษาที่พร้อมจะให้คำปรึกษาที่ครบถ้วนแก่นักศึกษา
6.อุปกรณ์การเรียนที่เพียบพร้อม",
149,ช,นนทบุรี,มัธยมศึกษาของรัฐ,บางบัวทอง,นนทบุรี,2.14,"30,001 ขึ้นไป",เทคโนโลยีสถาปัตยกรรม,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,,
150,ช,ตาก,มัธยมศึกษาของรัฐ,แม่กุวิทยาคม,ตาก,3.00,"10,001-20,000",เทคโนโลยีสถาปัตยกรรม,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,,
151,ช,เชียงใหม่,สถาบันอาชีวศึกษา,วิทยาลัยเทคโนโลยีโปลิเทคนิคลานนา,เชียงใหม่,2.98,"30,001 ขึ้นไป",เทคโนโลยีสถาปัตยกรรม,5,4,5,4,4,3,5,4,4,4,4,4,4,4,4,5,5,4,3,4,,5,5,5,5,5,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,"1. เรียนให้จบ
2. ได้ความรู้
3. ความกล้า",
152,ช,เชียงใหม่,สถาบันอาชีวศึกษา,วิทยาลัยเทคโนโลยีโปลิเทคนิคลานนา,เชียงใหม่,3.11,"10,001-20,000",เทคโนโลยีสถาปัตยกรรม,3,4,4,3,5,4,4,2,5,3,3,4,4,3,3,4,4,3,4,5,4,4,5,4,5,5,ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก  ไกลเกินไป,,
153,ญ,เชียงราย,มัธยมศึกษาของรัฐ,,,3.87,"10,001-20,000",ชีววิทยา,3,3,5,1,5,4,3,4,3,4,4,4,4,3,2,1,3,2,2,2,3,4,3,2,2,3,ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก  ไกลเกินไป  หอพักอยู่ในตัวเมือง  เดินทางไม่สะดวก,1. ความรู้ที่ได้รับ นำไปใช้ประโยชน์ได้จริง,
154,ญ,เชียงใหม่,มัธยมศึกษาของรัฐ,สารภีพิทยาคม,เชียงใหม่,3.35,"10,001-20,000",ชีววิทยา,4,4,5,4,3,4,4,4,4,4,4,5,3,4,4,4,5,4,5,4,4,5,5,5,4,5,ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก  การเดินทาง,1. พัฒนาตนเองให้ดีและมีความรู้มากขึ้น,
155,ญ,เชียงใหม่,มัธยมศึกษาของรัฐ,จอมทอง,เชียงใหม่,2.28,"ไม่เกิน 10,000",อาชีวอนามัยและความปลอดภัย,4,4,4,4,3,3,3,3,4,2,4,4,3,1,1,1,1,1,1,1,3,2,3,3,1,3,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,"1. เรียนรู้เรื่อง
2. ไม่ติด F , W , ร
3. จบมามีงานทำ",
156,ญ,เชียงใหม่,มัธยมศึกษาของรัฐ,จอมทอง,เชียงใหม่,2.97,"10,001-20,000",อาชีวอนามัยและความปลอดภัย,5,5,5,5,5,5,5,5,4,5,5,5,5,4,5,5,5,5,5,5,4,5,5,5,5,5,ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก  ไม่สะดวกในการอยู่หอ,1. เป็นที่ยอมรับจากตลาดแรงงานปัจจุบัน,
